Player A,Player B,Player C,Condition,Round,Round Type,Event Date,Moon,Color [A],Color [B],Color [C],Element [A],Element [B],Element [C],Horoscope [A],Horoscope [B],Horoscope [C],Exec A,Upside [A],Exec [B],Upside [B],Exec C,Upside [C],Winner,ML A,ML B,ML C
JJ Senekal,MJ Daffue,Jorge Campillo,Moderate,Round 1,Open,3/5/2026,Full Moon,Blue,Purple,Orange,Fire,Earth,Fire,AQUARIUS,CAPRICORN,GEMINI,25,50,60,73,50,75,Push (JJ Senekal / Jorge Campillo),320,175,105
Kota Kaneko,Musliwalo Nethunzwi,Kieran Vincent,Moderate,Round 1,Open,3/5/2026,Full Moon,Yellow,Orange,Yellow,Water,Earth,Fire,VIRGO,TAURUS,SAGITTARIUS,25,75,47,87,75,75,Kieran Vincent,120,475,115
Abraham Ancer,Harold Varner III,Paul Casey,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Green,Yellow,Metal,Metal,Fire,PISCES,LEO,CANCER,50,50,69,73,50,50,Paul Casey,150,187,190
Sergio Garcia,Lucas Herbert,Sebastian Munoz,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Earth,Wood,Water,CAPRICORN,SAGITTARIUS,CAPRICORN,50,50,56,60,50,25,Sergio Garcia,200,162,162
Tyrrell Hatton,Thomas Pieters,Cameron Smith,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Blue,Yellow,Blue,Metal,Metal,Water,LIBRA,AQUARIUS,LEO,50,50,69,73,50,50,Tyrrell Hatton,170,180,175
Charles Howell III,Richard T. Lee,Tom McKibbin,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Purple,Purple,Earth,Metal,Water,GEMINI,SCORPIO,SAGITTARIUS,50,50,74,72,50,50,Richard T. Lee,210,200,130
Martin Kaymer,Ben Campbell,Laurie Canter,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Blue,Green,Wood,Metal,Earth,CAPRICORN,LEO,SCORPIO,50,50,56,69,50,50,Push (Ben Campbell / Laurie Canter),280,162,120
Anthony Kim,Carlos Ortiz,Byeong-Hun An,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Orange,Purple,Wood,Metal,Metal,GEMINI,TAURUS,VIRGO,50,50,51,48,50,50,Push (Anthony Kim / Carlos Ortiz),210,150,170
Anirban Lahiri,Wade Ormsby,Danny Lee,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Purple,Fire,Metal,Metal,CANCER,ARIES,LEO,50,50,69,73,50,50,Danny Lee,125,180,250
Graeme McDowell,Peter Uihlein,Branden Grace,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Blue,Blue,Earth,Earth,Earth,LEO,VIRGO,TAURUS,50,50,56,69,50,25,Graeme McDowell,240,150,150
Adrian Meronk,Michael La Sasso,Minkyu Kim,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Water,Wood,Metal,GEMINI,ARIES,ARIES,50,50,69,73,50,25,Adrian Meronk,137,187,210
Joaquin Niemann,Dustin Johnson,Bryson DeChambeau,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Green,Earth,Wood,Water,SCORPIO,CANCER,VIRGO,50,50,74,72,50,50,Bryson DeChambeau,162,260,130
David Puig,Lee Westwood,Louis Oosthuizen,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Metal,Water,Water,SAGITTARIUS,TAURUS,LIBRA,50,25,56,69,50,25,Lee Westwood,110,333,160
Jon Rahm,Thomas Detry,Talor Gooch,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Blue,Purple,Wood,Water,Metal,SCORPIO,CAPRICORN,SCORPIO,50,50,51,48,50,50,Jon Rahm,-120,260,275
Younghan Song,Charl Schwartzel,Richard Bland,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Purple,Yellow,Metal,Wood,Water,CANCER,VIRGO,AQUARIUS,50,50,74,72,50,50,Push (Charl Schwartzel / Richard Bland),210,162,162
Caleb Surratt,Victor Perez,Jose Luis Ballester,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Blue,Blue,Green,Wood,Water,Water,PISCES,VIRGO,LEO,50,25,56,69,50,50,Push (Caleb Surratt / Victor Perez),150,190,187
Miguel Tabuena,Bjorn Hellgren,Yosuke Asaji,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Green,Yellow,Wood,Metal,Water,LEO,SCORPIO,GEMINI,50,50,56,69,50,25,Bjorn Hellgren,170,162,190
Cameron Tringale,Luis Masaveu,Sam Horsfield,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Blue,Yellow,Green,Fire,Water,Fire,VIRGO,SAGITTARIUS,LIBRA,50,25,56,60,50,50,Cameron Tringale,125,175,250
Scott Vincent,Marc Leishman,Jason Kokrak,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Green,Purple,Water,Water,Wood,TAURUS,SCORPIO,GEMINI,50,50,51,48,50,50,Marc Leishman,190,125,225
Bubba Watson,Ian Poulter,Brendan Steele,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Blue,Green,Yellow,Earth,Wood,Water,SCORPIO,CAPRICORN,ARIES,50,50,56,69,50,50,Brendan Steele,137,250,170
Matthew Wolff,Elvis Smylie,Dean Burmester,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Green,Yellow,Earth,Water,Earth,ARIES,TAURUS,GEMINI,50,50,56,69,50,50,Matthew Wolff,210,170,150
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Earth,Earth,Earth,GEMINI,SAGITTARIUS,AQUARIUS,25,25,31,46,25,75,Mac Meissner,230,145,160
Mackenzie Hughes,Eric Cole,Rico Hoey,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Green,#ERROR!,Metal,Earth,Wood,SAGITTARIUS,GEMINI,VIRGO,50,75,53,68,50,75,Eric Cole,160,200,162
Bud Cauley,Vince Whaley,Chandler Phillips,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Blue,Purple,Metal,Wood,Fire,PISCES,PISCES,SAGITTARIUS,25,75,31,46,50,75,Bud Cauley,130,180,225
Max Homa,Daniel Berger,Michael Thorbjornsen,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Metal,Water,Metal,SCORPIO,ARIES,VIRGO,50,50,53,68,50,75,Max Homa,220,137,175
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Water,Wood,Wood,VIRGO,TAURUS,GEMINI,50,75,31,46,50,75,Push (Christiaan Bezuidenhout / Max Greyserman),250,125,175
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Blue,Metal,Wood,Earth,PISCES,LIBRA,PISCES,25,25,53,68,25,25,Danny Walker,125,320,145
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Green,Green,Wood,Metal,Water,LEO,GEMINI,CANCER,25,25,46,75,50,75,Alex Noren,300,162,115
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Orange,Earth,Wood,Wood,LEO,PISCES,GEMINI,50,50,56,86,25,25,Gary Woodland,140,220,170
Akshay Bhatia,Brooks Koepka,Tony Finau,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Metal,Metal,Earth,AQUARIUS,TAURUS,VIRGO,50,50,53,68,50,75,Tony Finau,125,175,250
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Metal,Earth,Water,VIRGO,LEO,PISCES,50,75,61,78,50,75,Ricky Castillo,220,162,150
Collin Morikawa,Ludvig Aberg,Si Woo Kim,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Purple,Purple,Fire,Earth,Wood,AQUARIUS,SCORPIO,CANCER,50,50,61,78,50,50,NA,175,175,170
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Blue,Yellow,Metal,Earth,Fire,AQUARIUS,TAURUS,SAGITTARIUS,25,75,31,46,50,75,Matt McCarty,300,175,110
Brian Harman,Maverick McNealy,Davis Riley,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Green,Fire,Wood,Fire,CAPRICORN,SCORPIO,SAGITTARIUS,50,50,56,86,50,50,Maverick McNealy,190,100,300
Scottie Scheffler,Tommy Fleetwood,Justin Thomas,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Purple,Yellow,Fire,Metal,Water,CANCER,CAPRICORN,TAURUS,50,50,53,68,25,75,Justin Thomas,-125,200,375
Viktor Hovland,Russell Henley,Robert MacIntyre,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Green,Fire,Earth,Fire,VIRGO,ARIES,LEO,50,75,56,86,50,75,Russell Henley,180,145,200
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Purple,Purple,Earth,Earth,Wood,GEMINI,SCORPIO,VIRGO,25,75,56,86,25,75,Push (Lucas Glover / Matt Fitzpatrick),250,220,100
Michael Brennan,Harris English,J.T. Poston,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Metal,Earth,Water,AQUARIUS,LEO,GEMINI,50,50,31,46,50,75,Michael Brennan,225,115,210
Aldrich Potgieter,Jake Knapp,Sungjae Im,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Blue,Wood,Wood,Earth,VIRGO,GEMINI,ARIES,25,25,61,78,25,25,Aldrich Potgieter,260,110,190
Patton Kizzire,Seamus Power,Johnny Keefer,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Fire,Fire,Metal,PISCES,PISCES,CAPRICORN,50,75,56,86,25,25,Seamus Power,210,160,160
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Purple,Wood,Fire,Water,LEO,AQUARIUS,SCORPIO,25,25,31,46,50,50,Haotong Li,160,210,162
Lee Hodges,Andrew Putnam,Sam Stevens,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Green,Yellow,Wood,Earth,Fire,GEMINI,AQUARIUS,CANCER,50,75,31,46,50,75,Lee Hodges,190,225,125
Tom Hoge,Denny McCarthy,Nicolai Hojgaard,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Blue,Yellow,Earth,Water,Metal,GEMINI,PISCES,PISCES,25,25,31,46,25,25,Nicolai Hojgaard,220,187,130
Patrick Rodgers,Kevin Roy,Marco Penge,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Yellow,Water,Metal,Earth,CANCER,PISCES,TAURUS,50,75,53,68,50,75,Patrick Rodgers,175,200,150
Erik van Rooyen,Keith Mitchell,Michael Kim,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Green,Yellow,Metal,Metal,Water,PISCES,CAPRICORN,CANCER,50,75,56,86,25,25,Keith Mitchell,200,115,170
Taylor Moore,Joel Dahmen,Ryo Hisatsune,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Water,Fire,Water,LEO,SCORPIO,VIRGO,25,75,31,46,50,50,Taylor Moore,200,162,162
Chad Ramey,Alex Smalley,Pierceson Coody,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Green,Yellow,Water,Fire,Earth,LEO,LIBRA,CAPRICORN,25,75,46,75,25,25,Alex Smalley,240,175,130
Jacob Bridgeman,Ben Griffin,Adam Scott,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Purple,Earth,Fire,Metal,SAGITTARIUS,TAURUS,CANCER,50,75,56,86,50,50,Push (Jacob Bridgeman / Ben Griffin),175,170,175
Kurt Kitayama,Harry Hall,Stephan Jaeger,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Blue,Purple,Yellow,Water,Fire,Earth,CAPRICORN,LEO,GEMINI,25,25,46,75,25,75,Kurt Kitayama,137,150,260
Keegan Bradley,Ryan Fox,Chris Kirk,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Purple,Yellow,Fire,Fire,Wood,GEMINI,AQUARIUS,TAURUS,50,75,46,75,50,75,NA,145,170,220
J.J. Spaun,Sepp Straka,Shane Lowry,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Green,Metal,Water,Fire,LEO,TAURUS,ARIES,50,50,56,86,25,75,Sepp Straka,200,150,175
Andrew Novak,Nick Taylor,Wyndham Clark,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Yellow,Wood,Earth,Water,ARIES,ARIES,SAGITTARIUS,25,75,53,68,25,25,Wyndham Clark,220,145,170
Sahith Theegala,Rickie Fowler,Jordan Spieth,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Fire,Earth,Water,SAGITTARIUS,SAGITTARIUS,LEO,25,75,56,86,50,50,Sahith Theegala,190,150,187
Steven Fisk,William Mouw,Joe Highsmith,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Green,Yellow,Fire,Metal,Metal,ARIES,VIRGO,ARIES,50,50,61,78,50,75,William Mouw,160,140,240
Xander Schauffele,Rory McIlroy,Hideki Matsuyama,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Blue,Yellow,Water,Earth,Water,SCORPIO,TAURUS,PISCES,50,50,31,46,25,75,Xander Schauffele,180,145,200
Chris Gotterup,Justin Rose,Min Woo Lee,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Earth,Metal,Earth,CANCER,LEO,LEO,50,75,31,46,25,25,Chris Gotterup,175,210,145
Cameron Young,Davis Thompson,Sam Burns,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Green,Fire,Earth,Fire,TAURUS,GEMINI,LEO,50,50,53,68,25,75,Cameron Young,137,200,200
Brian Campbell,Karl Vilips,Aaron Rai,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Blue,Yellow,Water,Metal,Wood,PISCES,LEO,PISCES,50,75,46,75,50,75,Karl Vilips,260,240,-110
Nico Echavarria,Jason Day,Corey Conners,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Wood,Fire,Metal,CANCER,SCORPIO,CAPRICORN,25,75,31,46,25,75,Corey Conners,187,170,162
Matthieu Pavon,S.H. Kim,Austin Smotherman,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Water,Earth,Wood,SCORPIO,VIRGO,TAURUS,50,75,61,78,25,25,Austin Smotherman,225,162,145
Matti Schmid,Max McGreevy,Takumi Kanaya,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Blue,Yellow,Fire,Wood,Earth,SCORPIO,TAURUS,GEMINI,25,25,31,46,50,50,Matti Schmid,210,137,187
Mark Hubbard,Thorbjorn Olesen,Mac Meissner,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Earth,Earth,Earth,GEMINI,SAGITTARIUS,AQUARIUS,25,25,31,46,25,75,Mac Meissner,220,160,150
Mackenzie Hughes,Eric Cole,Rico Hoey,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Green,Yellow,Metal,Earth,Wood,SAGITTARIUS,GEMINI,VIRGO,50,75,53,68,50,75,Eric Cole,160,187,175
Bud Cauley,Vince Whaley,Chandler Phillips,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Blue,Purple,Metal,Wood,Fire,PISCES,PISCES,SAGITTARIUS,25,75,31,46,50,75,Bud Cauley,105,210,250
Max Homa,Daniel Berger,Michael Thorbjornsen,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Metal,Water,Metal,SCORPIO,ARIES,VIRGO,50,50,53,68,50,75,Max Homa,210,137,187
Emiliano Grillo,Christiaan Bezuidenhout,Max Greyserman,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Water,Wood,Wood,VIRGO,TAURUS,GEMINI,50,75,31,46,50,75,Push (Christiaan Bezuidenhout / Max Greyserman),280,120,162
Rasmus Hojgaard,Danny Walker,Kristoffer Reitan,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Blue,Metal,Wood,Earth,PISCES,LIBRA,PISCES,25,25,53,68,25,25,Danny Walker,137,260,150
Jhonattan Vegas,Taylor Pendrith,Alex Noren,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Green,Green,Wood,Metal,Water,LEO,GEMINI,CANCER,25,25,46,75,50,75,Alex Noren,320,162,110
Kevin Yu,Cameron Davis,Gary Woodland,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Orange,Earth,Wood,Wood,LEO,PISCES,GEMINI,50,50,56,86,25,25,Gary Woodland,150,240,150
Akshay Bhatia,Brooks Koepka,Tony Finau,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Green,Yellow,Purple,Metal,Metal,Earth,AQUARIUS,TAURUS,VIRGO,50,50,53,68,50,75,Tony Finau,115,200,240
Ricky Castillo,Ryan Gerard,Patrick Cantlay,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Yellow,Yellow,Metal,Earth,Water,VIRGO,LEO,PISCES,50,75,61,78,50,75,Ricky Castillo,220,170,140
Adam Schenk,Garrick Higgo,Matt McCarty,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Blue,Yellow,Metal,Earth,Fire,AQUARIUS,TAURUS,SAGITTARIUS,25,75,31,46,50,75,Matt McCarty,320,162,110
Brian Harman,Maverick McNealy,Davis Riley,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Green,Fire,Wood,Fire,CAPRICORN,SCORPIO,SAGITTARIUS,50,50,56,86,50,50,Maverick McNealy,175,-120,425
Scottie Scheffler,Tommy Fleetwood,Justin Thomas,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Purple,Purple,Yellow,Fire,Metal,Water,CANCER,CAPRICORN,TAURUS,50,50,53,68,25,75,Justin Thomas,-115,200,333
Viktor Hovland,Russell Henley,Robert MacIntyre,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Green,Fire,Earth,Fire,VIRGO,ARIES,LEO,50,75,56,86,50,75,Russell Henley,187,137,210
Sami Valimaki,Lucas Glover,Matt Fitzpatrick,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Purple,Purple,Earth,Earth,Wood,GEMINI,SCORPIO,VIRGO,25,75,56,86,25,75,Push (Lucas Glover / Matt Fitzpatrick),300,210,-110
Michael Brennan,Harris English,J.T. Poston,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Metal,Earth,Water,AQUARIUS,LEO,GEMINI,50,50,31,46,50,75,Michael Brennan,210,120,210
Aldrich Potgieter,Jake Knapp,Sungjae Im,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Blue,Wood,Wood,Earth,VIRGO,GEMINI,ARIES,25,25,61,78,25,25,Aldrich Potgieter,240,115,200
Patton Kizzire,Seamus Power,Johnny Keefer,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Yellow,Fire,Fire,Metal,PISCES,PISCES,CAPRICORN,50,75,56,86,25,25,Seamus Power,240,137,160
Haotong Li,Zecheng Dou,Jordan Smith,Moderate,Round 1,Open,3/12/2026,Waning Crescent,Yellow,Yellow,Purple,Wood,Fire,Water,LEO,AQUARIUS,SCORPIO,25,25,31,46,50,50,Haotong Li,150,210,170
Richard Bland,Ben Campbell,Danny Lee,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Purple,Water,Metal,Metal,AQUARIUS,LEO,LEO,50,75,59,85,25,50,Richard Bland,130,160,275
Branden Grace,Tyrrell Hatton,Harold Varner III,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Earth,Metal,Metal,TAURUS,LIBRA,LEO,50,50,79,65,25,25,Branden Grace,170,125,260
Bjorn Hellgren,Michael La Sasso,Luis Masaveu,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Yellow,Metal,Wood,Water,SCORPIO,ARIES,SAGITTARIUS,50,75,34,40,25,50,Luis Masaveu,137,240,162
Lucas Herbert,Thomas Pieters,Richard T. Lee,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Blue,Wood,Metal,Metal,SAGITTARIUS,AQUARIUS,SCORPIO,25,50,34,40,75,50,Push (Thomas Pieters / Richard T. Lee),150,162,220
Sam Horsfield,Miguel Tabuena,Younghan Song,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Purple,Fire,Wood,Metal,LIBRA,LEO,CANCER,25,50,59,85,25,25,Push (Sam Horsfield / Younghan Song),240,162,145
Charles Howell III,Jason Kokrak,Caleb Surratt,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Blue,Yellow,Earth,Wood,Wood,GEMINI,GEMINI,PISCES,25,50,59,85,50,50,Charles Howell III,187,225,130
Martin Kaymer,Tom McKibbin,Ian Poulter,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Blue,Wood,Water,Wood,CAPRICORN,SAGITTARIUS,CAPRICORN,75,50,59,85,50,75,Ian Poulter,375,-175,300
Minkyu Kim,Anirban Lahiri,Yosuke Asaji,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Metal,Fire,Water,ARIES,CANCER,GEMINI,50,50,49,57,50,50,Anirban Lahiri,260,120,180
Marc Leishman,Jose Luis Ballester,Paul Casey,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Purple,Water,Water,Fire,SCORPIO,LEO,CANCER,50,50,34,40,25,50,Jose Luis Ballester,145,162,230
Sebastian Munoz,Matthew Wolff,David Puig,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Green,Blue,Water,Earth,Metal,CAPRICORN,ARIES,SAGITTARIUS,50,50,79,65,50,50,David Puig,175,210,145
Joaquin Niemann,Dean Burmester,Thomas Detry,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Green,Yellow,Earth,Earth,Water,SCORPIO,GEMINI,CAPRICORN,25,50,34,40,50,50,Thomas Detry,170,170,187
Elvis Smylie,Anthony Kim,Sergio Garcia,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Blue,Water,Wood,Earth,TAURUS,GEMINI,CAPRICORN,50,75,49,57,50,75,Sergio Garcia,160,200,170
Brendan Steele,Scott Vincent,Victor Perez,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Purple,Blue,Water,Water,Water,ARIES,TAURUS,VIRGO,25,25,79,65,50,75,Scott Vincent,220,145,170
Cameron Tringale,Adrian Meronk,Laurie Canter,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Yellow,Fire,Water,Earth,VIRGO,GEMINI,SCORPIO,50,50,34,40,75,50,Adrian Meronk,170,187,170
Peter Uihlein,Cameron Smith,Byeong-Hun An,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Yellow,Earth,Water,Metal,VIRGO,LEO,VIRGO,50,75,59,85,25,50,Cameron Smith,225,130,180
Bubba Watson,Abraham Ancer,Graeme McDowell,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Green,Earth,Metal,Earth,SCORPIO,PISCES,LEO,50,75,49,57,25,50,Abraham Ancer,210,130,200
Lee Westwood,Jon Rahm,Charl Schwartzel,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Blue,Yellow,Water,Wood,Wood,TAURUS,SCORPIO,VIRGO,50,75,59,85,75,50,Jon Rahm,300,-140,280
Bryson DeChambeau,Dustin Johnson,Louis Oosthuizen,Calm,Round 1,Open,3/19/2026,New Moon,Orange,Purple,Blue,Water,Wood,Water,VIRGO,CANCER,LIBRA,50,75,79,65,50,50,Bryson DeChambeau,105,240,225
Alex Smalley,Justin Lower,Max McGreevy,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Yellow,Fire,Earth,Wood,LIBRA,ARIES,TAURUS,50,75,71,65,50,50,Alex Smalley,145,275,145
Emiliano Grillo,Charley Hoffman,Danny Willett,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Blue,Water,Fire,Fire,VIRGO,CAPRICORN,LIBRA,25,25,34,40,50,50,Emiliano Grillo,137,162,240
Brandt Snedeker,Christiaan Bezuidenhout,Takumi Kanaya,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Green,Metal,Wood,Earth,SAGITTARIUS,TAURUS,GEMINI,50,50,71,65,25,50,Brandt Snedeker,225,120,210
Matt Wallace,Matti Schmid,S.H. Kim,Calm,Round 1,Open,3/19/2026,New Moon,Purple,Yellow,Purple,Metal,Fire,Earth,ARIES,SCORPIO,VIRGO,75,50,71,65,75,50,S.H. Kim,162,160,210
Thorbjorn Olesen,Chandler Phillips,Hank Lebioda,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Yellow,Blue,Earth,Fire,Water,SAGITTARIUS,SAGITTARIUS,CAPRICORN,50,50,34,40,50,75,Push (Chandler Phillips / Hank Lebioda),115,210,230
Mackenzie Hughes,Denny McCarthy,Austin Smotherman,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Blue,Yellow,Metal,Water,Wood,SAGITTARIUS,PISCES,TAURUS,25,25,71,65,50,50,Denny McCarthy,200,190,140
Steven Fisk,Nick Taylor,Aaron Rai,Calm,Round 1,Open,3/19/2026,New Moon,Green,Yellow,Yellow,Fire,Earth,Wood,ARIES,ARIES,PISCES,25,50,49,57,25,25,Aaron Rai,240,145,160
Viktor Hovland,Brooks Koepka,Corey Conners,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Yellow,Blue,Fire,Metal,Metal,VIRGO,TAURUS,CAPRICORN,25,25,49,57,50,75,Corey Conners,145,187,200
Brian Campbell,Cameron Davis,Patrick Rodgers,Calm,Round 1,Open,3/19/2026,New Moon,Green,Yellow,Purple,Water,Wood,Water,PISCES,PISCES,CANCER,75,50,34,40,75,50,Patrick Rodgers,225,240,105
Xander Schauffele,Keegan Bradley,Patrick Cantlay,Calm,Round 1,Open,3/19/2026,New Moon,Blue,Purple,Yellow,Water,Fire,Water,SCORPIO,GEMINI,PISCES,25,50,34,40,25,25,Xander Schauffele,115,275,180
Matt McCarty,Davis Thompson,Matt Kuchar,Calm,Round 1,Open,3/19/2026,New Moon,Green,Yellow,Yellow,Fire,Earth,Earth,SAGITTARIUS,GEMINI,CANCER,75,50,49,57,50,50,Davis Thompson,150,150,240
Ricky Castillo,J.J. Spaun,Billy Horschel,Calm,Round 1,Open,3/19/2026,New Moon,Yellow,Green,Yellow,Metal,Metal,Fire,VIRGO,LEO,SAGITTARIUS,25,25,49,57,50,50,Billy Horschel,175,130,230
Joe Highsmith,Davis Riley,Pierceson Coody,Calm,Round 1,Open,3/19/2026,New Moon,Green,Yellow,Blue,Metal,Fire,Earth,ARIES,SAGITTARIUS,CAPRICORN,75,50,49,57,50,50,Pierceson Coody,220,180,137
